ledger_id,lane,module,granularity,unit_id,candidate_id,range_id,function_index,entry_address,parent_start,parent_end,size,source_kind,source_shape,promotion_key,proof_stage,proof_status,input_matching_claim,import_status,import_source_path,import_header_path,source_path,header_path,compiler_pipeline,compiler_variant,object_path,compiled_section_path,original_path,container_output,compiled_sha1,original_sha1,object_match,relocation_pass,splice_pass,container_pass,matching_claim,reference_source_path,reference_source_line,reference_source_end_line
ECPR00001,auto_leaf_pattern_recovery,main.dol,function,AUTOLP00001,ALP_addi_r0_r3_63_clrrwi_r3_r0_5_blr_main_dol_115_8000bfa8,,115,0x8000BFA8,,,12,add_clear_lowbits_return,add_clear_lowbits_return,function:main.dol:main_dol:115:0x8000bfa8,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_add63_clear_low5_return,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_addi_r0_r3_63_clrrwi_r3_r0_5_blr_main_dol_115_8000bfa8.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_addi_r0_r3_63_clrrwi_r3_r0_5_blr_main_dol_115_8000bfa8.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/main_dol/ALP_addi_r0_r3_63_clrrwi_r3_r0_5_blr_main_dol_115_8000bfa8.bin,7950e339242cd5633fada32c33c578721cd7c986,7950e339242cd5633fada32c33c578721cd7c986,yes,yes,yes,yes,byte_identical_c,,,
ECPR00002,auto_leaf_pattern_recovery,m603DLL.rel,function,AUTOLP00005,ALP_addi_r3_r3_imm_blr_m603dll_rel_706_80013b78,,706,0x80013B78,,,8,r3_addi_return,r3_addi_return,function:m603dll.rel:rel:706:0x80013b78,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_pointer_add,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_addi_r3_r3_imm_blr_m603dll_rel_706_80013b78.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_addi_r3_r3_imm_blr_m603dll_rel_706_80013b78.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m603dll_rel/ALP_addi_r3_r3_imm_blr_m603dll_rel_706_80013b78.bin,85d2e93c8057777c8412f76ced07f74b3082731e,85d2e93c8057777c8412f76ced07f74b3082731e,yes,yes,yes,yes,byte_identical_c,,,
ECPR00003,auto_leaf_pattern_recovery,m603DLL.rel,function,AUTOLP00006,ALP_addi_r3_r3_imm_blr_m603dll_rel_713_80013bbc,,713,0x80013BBC,,,8,r3_addi_return,r3_addi_return,function:m603dll.rel:rel:713:0x80013bbc,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_pointer_add,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_addi_r3_r3_imm_blr_m603dll_rel_713_80013bbc.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_addi_r3_r3_imm_blr_m603dll_rel_713_80013bbc.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m603dll_rel/ALP_addi_r3_r3_imm_blr_m603dll_rel_713_80013bbc.bin,85d2e93c8057777c8412f76ced07f74b3082731e,85d2e93c8057777c8412f76ced07f74b3082731e,yes,yes,yes,yes,byte_identical_c,,,
ECPR00004,auto_leaf_pattern_recovery,m603DLL.rel,function,AUTOLP00007,ALP_addi_r3_r3_imm_blr_m603dll_rel_810_80019040,,810,0x80019040,,,8,r3_addi_return,r3_addi_return,function:m603dll.rel:rel:810:0x80019040,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_pointer_add,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_addi_r3_r3_imm_blr_m603dll_rel_810_80019040.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_addi_r3_r3_imm_blr_m603dll_rel_810_80019040.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m603dll_rel/ALP_addi_r3_r3_imm_blr_m603dll_rel_810_80019040.bin,85d2e93c8057777c8412f76ced07f74b3082731e,85d2e93c8057777c8412f76ced07f74b3082731e,yes,yes,yes,yes,byte_identical_c,,,
ECPR00005,auto_leaf_pattern_recovery,m603DLL.rel,function,AUTOLP00008,ALP_addi_r3_r3_imm_blr_m603dll_rel_819_80019674,,819,0x80019674,,,8,r3_addi_return,r3_addi_return,function:m603dll.rel:rel:819:0x80019674,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_pointer_add,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_addi_r3_r3_imm_blr_m603dll_rel_819_80019674.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_addi_r3_r3_imm_blr_m603dll_rel_819_80019674.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m603dll_rel/ALP_addi_r3_r3_imm_blr_m603dll_rel_819_80019674.bin,85d2e93c8057777c8412f76ced07f74b3082731e,85d2e93c8057777c8412f76ced07f74b3082731e,yes,yes,yes,yes,byte_identical_c,,,
ECPR00006,auto_leaf_pattern_recovery,m611DLL.rel,function,AUTOLP00009,ALP_addi_r3_r3_imm_blr_m611dll_rel_877_8001d0e8,,877,0x8001D0E8,,,8,r3_addi_return,r3_addi_return,function:m611dll.rel:rel:877:0x8001d0e8,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_pointer_add,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_addi_r3_r3_imm_blr_m611dll_rel_877_8001d0e8.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_addi_r3_r3_imm_blr_m611dll_rel_877_8001d0e8.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m611dll_rel/ALP_addi_r3_r3_imm_blr_m611dll_rel_877_8001d0e8.bin,85d2e93c8057777c8412f76ced07f74b3082731e,85d2e93c8057777c8412f76ced07f74b3082731e,yes,yes,yes,yes,byte_identical_c,,,
ECPR00007,auto_leaf_pattern_recovery,m611DLL.rel,function,AUTOLP00010,ALP_addi_r3_r3_imm_blr_m611dll_rel_884_8001d12c,,884,0x8001D12C,,,8,r3_addi_return,r3_addi_return,function:m611dll.rel:rel:884:0x8001d12c,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_pointer_add,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_addi_r3_r3_imm_blr_m611dll_rel_884_8001d12c.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_addi_r3_r3_imm_blr_m611dll_rel_884_8001d12c.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m611dll_rel/ALP_addi_r3_r3_imm_blr_m611dll_rel_884_8001d12c.bin,85d2e93c8057777c8412f76ced07f74b3082731e,85d2e93c8057777c8412f76ced07f74b3082731e,yes,yes,yes,yes,byte_identical_c,,,
ECPR00008,auto_leaf_pattern_recovery,m611DLL.rel,function,AUTOLP00011,ALP_addi_r3_r3_imm_blr_m611dll_rel_981_800225b0,,981,0x800225B0,,,8,r3_addi_return,r3_addi_return,function:m611dll.rel:rel:981:0x800225b0,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_pointer_add,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_addi_r3_r3_imm_blr_m611dll_rel_981_800225b0.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_addi_r3_r3_imm_blr_m611dll_rel_981_800225b0.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m611dll_rel/ALP_addi_r3_r3_imm_blr_m611dll_rel_981_800225b0.bin,85d2e93c8057777c8412f76ced07f74b3082731e,85d2e93c8057777c8412f76ced07f74b3082731e,yes,yes,yes,yes,byte_identical_c,,,
ECPR00009,auto_leaf_pattern_recovery,m611DLL.rel,function,AUTOLP00012,ALP_addi_r3_r3_imm_blr_m611dll_rel_990_80022be4,,990,0x80022BE4,,,8,r3_addi_return,r3_addi_return,function:m611dll.rel:rel:990:0x80022be4,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_pointer_add,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_addi_r3_r3_imm_blr_m611dll_rel_990_80022be4.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_addi_r3_r3_imm_blr_m611dll_rel_990_80022be4.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m611dll_rel/ALP_addi_r3_r3_imm_blr_m611dll_rel_990_80022be4.bin,85d2e93c8057777c8412f76ced07f74b3082731e,85d2e93c8057777c8412f76ced07f74b3082731e,yes,yes,yes,yes,byte_identical_c,,,
ECPR00010,auto_leaf_pattern_recovery,m624DLL.rel,function,AUTOLP00013,ALP_addi_r3_r3_imm_blr_m624dll_rel_676_80011968,,676,0x80011968,,,8,r3_addi_return,r3_addi_return,function:m624dll.rel:rel:676:0x80011968,source_manifest,source_manifest,byte_identical_c,copied_source,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,src/recovered/mp6_exact/source/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.c,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/source/auto_leaf_pattern_recovered.h,devkitppc_gcc,devkitppc_gcc_o2_clean_pointer_add,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/compiled/auto_leaf_pattern_recovered.o,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/object_sections/ALP_addi_r3_r3_imm_blr_m624dll_rel_676_80011968.text.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/original/ALP_addi_r3_r3_imm_blr_m624dll_rel_676_80011968.bin,_mp6_rebuild/reports/generated/auto_leaf_pattern_recovery/container_splice/m624dll_rel/ALP_addi_r3_r3_imm_blr_m624dll_rel_676_80011968.bin,85d2e93c8057777c8412f76ced07f74b3082731e,85d2e93c8057777c8412f76ced07f74b3082731e,yes,yes,yes,yes,byte_identical_c,,,
